Playlist-ID,Title,Language,Label,isTruthWorthy
6kEujiJnNvAPnuWu9FLjlb,Happy Lemon (Vietnamese),vietnamese,happy,1
3aoC4XCCGfvZklxKwuHh9p,Vietnamese Happy songs,vietnamese,happy,1
2zh1DTOLckkCM4DWG0aNSG,Vietnamese happy songs,vietnamese,happy,1
1HpnqWPAz9MIr4EBa7jNLq,Andrew's Vietnamese Playlist,vietnamese,happy,1
78hiNqOrYuGrE5FMBv2r0D,Vietnamese happy song,vietnamese,happy,1
29MqULYzoIx7XUPt6zbaH6,Happy Vietnamese,vietnamese,happy,1
5hfExSJdXy7Khjalh6duYi,vietnamese playlist that i don't understand but they make funny noises so i'm happy with it hehe lol,vietnamese,happy,1
5t9iJoDyVSP53OxnDxpDFx,happy vietnamese songs ,vietnamese,happy,1
1s1OC15PuQgQvbrQh2soUe,vietnamese happy vibes,vietnamese,happy,1
